.,ai_usage,ai_image_usage,I understand the basic concepts of Artifical Intelligence,I believe I can contribute to AI projects,I can judge the pros and cons of AI,I keep up with the latest AI trends,I am comfortable talking about AI with others,I can think of news ways to use existing AI tools
5e9ffa9ee172201b04f1a4c6,0-2 hours a day,Once a month,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree
5caccbc4976d010014b9cd9d,Once a week,Never,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Neutral
67657279b0bce380fa33721e,0-2 hours a day,Once a week,Agree,Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree
5e35373e1ddb124e6c306747,Once a month,Never,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree
67e184908b8cd53c87ac90a2,0-2 hours a day,Everyday,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
674ca2f2b42dd96dc2f71707,0-2 hours a day,Never,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
5f91a6bf59acc003a749718a,2-4 hours a day,Once a week,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
5ff454f2f0b5ed607169fba6,0-2 hours a day,Everyday,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree
67e58fdd13f4a6a894472087,4-6 hours a day,Everyday,Agree,Agree,Somewhat Agree,Agree,Agree,Agree
669284eabea5b8c9655927da,Once a month,Never,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree
5bead56b5324b10001c2551c,2-4 hours a day,Rarely,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree
67d48133208e9bbe96dc6761,2-4 hours a day,Once a week,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
67c83488e67b25dcb923d96d,Once a week,Once a week,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree
5f734ab7a0857803755e97b3,0-2 hours a day,Rarely,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Agree,Somewhat Agree
67dac9fec33b7784afd3d08b,4-6 hours a day,Everyday,Agree,Strongly Agree,Agree,Agree,Agree,Agree
67f2b914d702155cbc0a3a2c,0-2 hours a day,Rarely,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
67d046be60d06ac435106f0d,2-4 hours a day,Once a month,Agree,Agree,Agree,Agree,Agree,Agree
66edea9d406f629b67ce30b8,0-2 hours a day,Once a week,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree
66b5172c8f0bd3b23ce66c22,2-4 hours a day,Everyday,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral
676304145bbe20d1fd5d653c,0-2 hours a day,Everyday,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
6740fea68181e7a67e3741d3,Once a week,Once a month,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree
5e6a923f59a3bd04d5edc606,Once a week,Rarely,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral
5997043dbbe84800017964a7,Once a week,Never,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral
66621e083b8f136c93a4e7b5,Never,Never,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Disagree
6674bd2b56aae0985600d533,0-2 hours a day,Once a week,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree
657f06882ad79871ba4e7b10,Once a week,Once a week,Agree,Agree,Agree,Agree,Strongly Agree,Click to write Choice 8
