just_the_facts,gave_away_ground_truth,conversation_id,participant_id,condition,imageid,headline,phase,week,asked_broad_questions,asked_guiding_questions,probed_deeper_over_multiple_messages,changed_focus_every_question,ask_for_source_checking,cross_verification_prompting,image_forensics_questions,contextual_consistency_checks,counterfactual_generation,ask_for_alternative_explanations,logic_plausibility_checks,scale_scope_reflection,spot_emotional_triggers,bias_awareness_reflection,framing_analysis,recall_prior_knowledge,fact_comparison,historical_analogies,devils_advocate_roleplay,evidence_ranking,step_by_step_reasoning,confidence_calibration,uncertainty_tolerance,reflect_on_process,ground_truth,initial_rating,final_rating,unassisted_rating,unassisted_ground_truth,congruent_belief,accuracy_before,accuracy_with,accuracy_unassisted,gave_away_answer_beginning,gave_away_answer_end,gave_away_answer_never
1,0,676304145bbe20d1fd5d653c_5,676304145bbe20d1fd5d653c,Persuasive,5,Waiting for the Pfizer vaccine at the St. Fidelis Parish in Toronto on Wednesday.,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,Real,Real,REAL,Real,Real,Congruent,True,True,True,True,False,False
1,0,676304145bbe20d1fd5d653c_4,676304145bbe20d1fd5d653c,Persuasive,4,"Recaptured inmates are led by the police outside the Croix-des-Bouquets Civil Prison after an attempted breakout, in Port-au-Prince, Haiti, on Thursday.",3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Real,Real,REAL,Real,Real,Congruent,True,True,True,True,False,False
1,0,65c18c789a79785086046517_6,65c18c789a79785086046517,Persuasive,6,"More than 4,100 migrant children and families were packed on Tuesday into a Texas border facility designed for 250 people.",3,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Real,Real,REAL,Fake,Real,Congruent,True,True,False,True,False,False
1,0,65c18c789a79785086046517_1,65c18c789a79785086046517,Persuasive,1,"The Russian men's biathlon relay team is disqualified for doping at the Olympic Games last month, adding to Russia's shame after dismal performances by its athletes.",3,4,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,Fake,Real,FAKE,Real,Real,Incongruent,False,True,True,True,False,False
1,0,65c18c789a79785086046517_2,65c18c789a79785086046517,Persuasive,2,Bangkok residents wave flags in celebration of a new government on Wednesday.,3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,Fake,Real,FAKE,Real,Fake,Incongruent,False,True,False,True,False,False
1,0,65c18c789a79785086046517_4,65c18c789a79785086046517,Persuasive,4,"Recaptured inmates are led by the police outside the Croix-des-Bouquets Civil Prison after an attempted breakout, in Port-au-Prince, Haiti, on Thursday.",3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Real,Real,REAL,Real,Fake,Congruent,True,True,False,True,False,False
1,0,5e916cb9e502b1498e8fc059_1,5e916cb9e502b1498e8fc059,Persuasive,1,"The Russian men's biathlon relay team is disqualified for doping at the Olympic Games last month, adding to Russia's shame after dismal performances by its athletes.",3,4,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,Fake,Real,FAKE,Real,Real,Incongruent,False,True,True,True,False,False
1,0,5e916cb9e502b1498e8fc059_0,5e916cb9e502b1498e8fc059,Persuasive,0,Gov. David A. Paterson incites a riot at a town hall meeting in Brooklyn on Monday.,3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Fake,Fake,FAKE,Real,Real,Congruent,True,True,True,True,False,False
1,0,5e916cb9e502b1498e8fc059_7,5e916cb9e502b1498e8fc059,Persuasive,7,"Protesters using slingshots during a protest in Yangon, Myanmar, last month.",3,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Real,Fake,REAL,Real,Fake,Incongruent,False,True,False,True,False,False
1,0,5e916cb9e502b1498e8fc059_5,5e916cb9e502b1498e8fc059,Persuasive,5,Waiting for the Pfizer vaccine at the St. Fidelis Parish in Toronto on Wednesday.,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Real,Real,REAL,Real,Fake,Congruent,True,True,False,True,False,False
1,0,6792f9facbb387400c5b6119_6,6792f9facbb387400c5b6119,Persuasive,6,"More than 4,100 migrant children and families were packed on Tuesday into a Texas border facility designed for 250 people.",3,4,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
1,1,6792f9facbb387400c5b6119_2,6792f9facbb387400c5b6119,Persuasive,2,Bangkok residents wave flags in celebration of a new government on Wednesday.,3,4,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,Fake,Fake,FAKE,Fake,Real,Congruent,True,True,False,False,True,False
1,0,6792f9facbb387400c5b6119_4,6792f9facbb387400c5b6119,Persuasive,4,"Recaptured inmates are led by the police outside the Croix-des-Bouquets Civil Prison after an attempted breakout, in Port-au-Prince, Haiti, on Thursday.",3,4,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Real,Fake,REAL,Real,Fake,Incongruent,False,True,False,True,False,False
1,0,6792f9facbb387400c5b6119_1,6792f9facbb387400c5b6119,Persuasive,1,"The Russian men's biathlon relay team is disqualified for doping at the Olympic Games last month, adding to Russia's shame after dismal performances by its athletes.",3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,Fake,Real,FAKE,Fake,Real,Incongruent,False,True,False,True,False,False
1,1,67659224c577c7e97b074f43_0,67659224c577c7e97b074f43,Persuasive,0,Gov. David A. Paterson incites a riot at a town hall meeting in Brooklyn on Monday.,3,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Fake,Fake,FAKE,Fake,Fake,Congruent,True,True,True,False,True,False
1,0,67659224c577c7e97b074f43_5,67659224c577c7e97b074f43,Persuasive,5,Waiting for the Pfizer vaccine at the St. Fidelis Parish in Toronto on Wednesday.,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
1,0,67659224c577c7e97b074f43_4,67659224c577c7e97b074f43,Persuasive,4,"Recaptured inmates are led by the police outside the Croix-des-Bouquets Civil Prison after an attempted breakout, in Port-au-Prince, Haiti, on Thursday.",3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Real,Real,REAL,Real,Real,Congruent,True,True,True,True,False,False
1,0,67659224c577c7e97b074f43_3,67659224c577c7e97b074f43,Persuasive,3,"President Mahmoud Ahmadinejad, center, incites violence and unrest at a rally in Tehran on Thursday.",3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Fake,Fake,FAKE,Real,Real,Congruent,True,True,True,True,False,False
1,0,5e35373e1ddb124e6c306747_2,5e35373e1ddb124e6c306747,Persuasive,2,Bangkok residents wave flags in celebration of a new government on Wednesday.,3,4,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,Fake,Fake,FAKE,Real,Real,Congruent,True,True,True,True,False,False
1,0,5e35373e1ddb124e6c306747_3,5e35373e1ddb124e6c306747,Persuasive,3,"President Mahmoud Ahmadinejad, center, incites violence and unrest at a rally in Tehran on Thursday.",3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Fake,Fake,FAKE,Real,Real,Congruent,True,True,True,True,False,False
1,0,5e35373e1ddb124e6c306747_7,5e35373e1ddb124e6c306747,Persuasive,7,"Protesters using slingshots during a protest in Yangon, Myanmar, last month.",3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
1,0,5e35373e1ddb124e6c306747_4,5e35373e1ddb124e6c306747,Persuasive,4,"Recaptured inmates are led by the police outside the Croix-des-Bouquets Civil Prison after an attempted breakout, in Port-au-Prince, Haiti, on Thursday.",3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
